Province,1995,2000,2005,2010,2015,2020
Beijing,1380,2333.5,3287,3760,6900,6720
Tianjin,423,1107,1791,6520,8950,14890
Hebei,743,2872,5001,13320,27210,43980
Shanxi,865,2051.5,3238,10970,28130,39990
InnerMongolia,1148,2335.5,3523,15530,31320,45580
Liaoning,2739,3957,5175,12550,20440,27660
Jilin,1782,2946,4110,9780,13140,13360
Heilongjiang,2055,3254.5,4454,7450,12980,17210
Shanghai,1013,2338,3663,4130,4240,8360
Jiangsu,594,5473,10352,18520,45630,79930
Zhejiang,860,2701.5,4543,5400,9430,30600
Anhui,374,520,666,2830,11270,22000
Fujian,104,211,318,1180,6950,9430
Jiangxi,0,0,0,0,0,0
Shandong,942,5964.5,10987,28000,44290,83120
Henan,362,1386.5,2411,9090,17040,29050
Hubei,554,384,214,2510,5980,6270
Hunan,266,351.5,437,620,1490,4500
Guangdong,1231,1466,1701,3290,15500,17560
Guangxi,0,0,0,0,0,690
Hainan,0,0,0,0,0,0
Chongqing,0,47,94,140,1850,2030
Sichuan,94,395.5,697,170,0,0
Guizhou,0,0,0,0,0,900
Yunnan,0,0,0,0,0,0
Tibet,0,0,0,0,0,0
Shaanxi,86,404,722,2470,6740,14880
Gansu,721,972,1223,410,9620,13440
Qinghai,0,0,0,0,0,0
Ningxia,0,45,90,1470,3390,12790
Xinjiang,179,686.5,1194,6040,9960,18010