Region,1995,2000,2005,2010,2015,2020
Beijing,1348,1059.5,697,1380,2750,4640
Tianjin,2958,3921,4721,4390,3880,1790
Hebei,9630,12221,21086,23320,16290,9930
Shanxi,8036,9718.5,23423,31130,31270,28790
InnerMongolia,4696,6166.5,25376,38490,41310,48160
Liaoning,6904,9981,11546,15170,10300,8770
Jilin,2218,1978,2929,4090,4690,5160
Heilongjiang,5599,6814.5,8002,9340,7430,7020
Shanghai,7051,8266,10863,14300,18370,16140
Jiangsu,14380,13745,41424,41460,38170,20860
Zhejiang,6387,9623.5,30848,38200,52880,32980
Anhui,5001,7656,13468,24800,34860,33610
Fujian,2379,4887,12683,21890,21950,25350
Jiangxi,2944,4474,6568,12940,17880,24550
Shandong,11791,13961.5,38408,32020,43250,28230
Henan,9162,12402.5,30192,37780,45090,41630
Hubei,3158,7654,11409,15640,19780,26890
Hunan,3278,4125.5,10278,15470,20380,18190
Guangdong,3426,21547,38914,49580,57730,78260
Guangxi,3389,3255,5434,10390,16520,22750
Hainan,507,1245,1982,2970,4610,5460
Chongqing,5590,2948,5500,6600,12250,13420
Sichuan,1964,5694.5,8858,12410,16240,15960
Guizhou,3960,3705,14250,17530,28840,34700
Yunnan,129,2466,8564,11330,14020,15170
Tibet,47,47,47,310,400,430
Shaanxi,3719,5520,9001,18900,22620,35050
Gansu,1508,2627,5225,12830,9680,9640
Qinghai,466,839,1517,1930,3180,3930
Ningxia,1381,1955,5912,11240,16450,20470
Xinjiang,2121,2832.5,4743,5680,32030,45360